Task_ID,Task_Name,Module,Assigned_Team,Estimated_Duration,Actual_Duration,Delay_Risk (%),Workload (%),Needed_Resources,Priority_Level,Resource_Availability,Required_Experience (Years),Planning_Conflict,Adaptability_Score,Scrum_Sprint_Count,Sprint_Velocity,Mapped_Role,AI_Willingness,AI_Usage_Percentage,AI_Familiarity,AI_Familiarity_Score,Agile_Familiarity,Agile_Familiarity_Score,Duration_Accuracy,Velocity_to_Experience_Ratio,AI_Adaptability_Index,Module_Encoded,Assigned_Team_Encoded,Needed_Resources_Encoded,Priority_Level_Encoded,Resource_Availability_Encoded,Planning_Conflict_Encoded,Mapped_Role_Encoded,AI_Familiarity_Encoded,Agile_Familiarity_Encoded
TASK_11,Task 11,Dashboard,Frontend,0.26666666666666666,0.8500000000000001,0.875,0.2857142857142858,2 Backend Devs,Low,Busy,0.33333333333333337,Overlaps with Sprint 5,0.29,0.5,0.5500000000000003,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.055023923444976086,0.20520833333333333,0.29,1,2,2,2,2,2,0,1,0
TASK_12,Task 12,Dashboard,FullStack,0.6000000000000001,0.6000000000000001,0.875,0.2857142857142858,,Low,Busy,0.16666666666666666,Overlaps with Sprint 5,0.39,0.33333333333333326,0.0,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.16408668730650153,0.234375,0.39,1,3,3,2,2,2,0,1,0
TASK_13,Task 13,Authentication,Frontend,0.26666666666666666,0.3500000000000001,1.0,0.2857142857142858,2 Backend Devs,High,Available in March,0.33333333333333337,Overlaps with Holidays,0.16,0.33333333333333326,0.6000000000000001,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.14473684210526316,0.21249999999999997,0.16,0,2,2,1,1,1,0,1,0
TASK_14,Task 14,Authentication,DevOps,0.2,0.15000000000000002,0.5,0.5714285714285714,,Low,Available,0.33333333333333337,Overlaps with Sprint 5,0.85,0.0,0.3500000000000001,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.21052631578947367,0.17604166666666665,0.8500000000000001,0,1,3,2,0,2,0,1,0
TASK_15,Task 15,Testing,DevOps,0.26666666666666666,0.7000000000000001,0.125,0.2857142857142858,1 React Dev,Medium,Busy,0.16666666666666666,Overlaps with Holidays,0.56,0.16666666666666674,0.6499999999999999,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.07202216066481994,0.37656249999999997,0.56,4,1,1,3,2,1,0,1,0
TASK_16,Task 16,Payment,Backend,0.7333333333333334,0.55,0.0,0.5714285714285714,,Critical,Busy,0.6666666666666666,Overlaps with Holidays,0.02,0.33333333333333326,0.4500000000000002,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.21052631578947367,0.07687500000000001,0.02,2,0,3,0,2,1,0,1,0
TASK_17,Task 17,Authentication,FullStack,0.5333333333333334,0.050000000000000044,1.0,0.5714285714285714,1 React Dev,Critical,Available,0.6666666666666666,No Conflict,0.8,0.8333333333333333,0.6499999999999999,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.5175438596491226,0.094375,0.8,0,3,1,0,0,0,0,1,0
TASK_18,Task 18,Payment,Frontend,0.06666666666666671,0.0,0.875,1.0,1 QA Tester,Medium,Available in March,0.33333333333333337,No Conflict,0.23,0.9999999999999998,0.4500000000000002,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.2631578947368421,0.190625,0.23,2,2,0,3,1,0,0,1,0
TASK_19,Task 19,Sprint Planning,Backend,0.6000000000000001,0.8,0.125,0.5714285714285714,1 React Dev,High,Available in March,0.9999999999999999,Overlaps with Sprint 5,0.82,0.0,0.10000000000000009,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.12280701754385964,0.0062500000000000056,0.82,3,0,1,1,1,2,0,1,0
TASK_20,Task 20,Sprint Planning,QA,0.8,0.2,0.875,0.2857142857142858,,High,Available in March,0.16666666666666666,No Conflict,0.57,0.9999999999999998,0.15000000000000013,Quality Assurance Engineer,0.0,0.0,Somewhat Familiar,0.0,Somewhat Familiar,0.0,0.4444444444444444,0.26718749999999997,0.3597087378640776,3,4,3,1,1,0,1,0,0
TASK_21,Task 21,Authentication,QA,0.8,0.8500000000000001,0.125,0.5714285714285714,1 QA Tester,High,Available in March,0.33333333333333337,No Conflict,0.43,0.33333333333333326,0.40000000000000013,Quality Assurance Engineer,0.0,0.0,Somewhat Familiar,0.0,Somewhat Familiar,0.0,0.15071770334928228,0.1833333333333333,0.27135922330097084,0,4,0,1,1,0,1,0,0
TASK_22,Task 22,Sprint Planning,QA,0.6000000000000001,0.4,0.875,0.2857142857142858,1 React Dev,Medium,Busy,0.33333333333333337,Overlaps with Holidays,0.87,0.33333333333333326,0.5,Quality Assurance Engineer,0.0,0.0,Somewhat Familiar,0.0,Somewhat Familiar,0.0,0.23076923076923073,0.19791666666666669,0.5490291262135922,3,4,1,3,2,1,1,0,0
TASK_23,Task 23,Testing,DevOps,0.9333333333333333,0.9500000000000002,0.875,1.0,,Critical,Available,0.16666666666666666,Overlaps with Sprint 5,0.03,0.0,0.8000000000000003,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.1557017543859649,0.40937499999999993,0.03,4,1,3,0,0,2,0,1,0
TASK_24,Task 24,Sprint Planning,DevOps,0.3333333333333333,0.25,0.125,0.2857142857142858,2 Backend Devs,High,Available,0.16666666666666666,Overlaps with Holidays,0.11,0.0,0.10000000000000009,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.21052631578947367,0.25625,0.11,3,1,2,1,0,1,0,1,0
TASK_25,Task 25,Payment,Backend,0.9333333333333333,0.10000000000000003,0.875,0.0,1 React Dev,Low,Available,0.6666666666666666,Overlaps with Sprint 5,0.78,0.8333333333333333,0.5,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.6616541353383458,0.08125,0.78,2,0,1,2,0,2,0,1,0
TASK_26,Task 26,Sprint Planning,FullStack,0.39999999999999997,0.45000000000000007,0.0,1.0,1 React Dev,Medium,Available in March,0.33333333333333337,No Conflict,0.76,0.33333333333333326,0.9500000000000002,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.15413533834586465,0.2635416666666666,0.7600000000000001,3,3,1,3,1,0,0,1,0
TASK_27,Task 27,Authentication,Backend,0.13333333333333336,0.55,1.0,0.0,1 QA Tester,Low,Available,0.6666666666666666,Overlaps with Sprint 5,0.17,0.8333333333333333,0.6000000000000001,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.0625,0.09000000000000001,0.17,0,0,0,2,0,2,0,1,0
TASK_28,Task 28,Sprint Planning,FullStack,0.6000000000000001,0.30000000000000004,1.0,0.2857142857142858,1 React Dev,Low,Available in March,0.6666666666666666,Overlaps with Holidays,0.01,0.5,0.5,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.2822966507177033,0.08125,0.01,3,3,1,2,1,1,0,1,0
TASK_29,Task 29,Authentication,Backend,0.6666666666666667,0.6000000000000001,0.0,0.0,,Low,Available,0.16666666666666666,No Conflict,0.03,0.9999999999999998,0.15000000000000013,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.17956656346749225,0.26718749999999997,0.03,0,0,3,2,0,0,0,1,0
TASK_30,Task 30,Testing,FullStack,0.6000000000000001,0.0,0.875,0.0,1 QA Tester,Medium,Busy,0.9999999999999999,No Conflict,0.86,0.5,0.25,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.6842105263157894,0.015625000000000014,0.86,4,3,0,3,2,0,0,1,0
TASK_31,Task 31,Sprint Planning,FullStack,0.8,0.3500000000000001,0.125,1.0,2 Backend Devs,Low,Available in March,0.9999999999999999,Overlaps with Sprint 5,0.92,0.9999999999999998,0.9000000000000004,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.3201754385964912,0.05625000000000001,0.92,3,3,2,2,1,2,0,1,0
TASK_32,Task 32,Authentication,DevOps,0.6000000000000001,1.0,0.5,0.5714285714285714,,Medium,Available in March,0.0,Overlaps with Holidays,0.74,0.6666666666666667,0.15000000000000013,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.09473684210526317,0.6281249999999999,0.7399999999999999,0,1,3,3,1,1,0,1,0
TASK_33,Task 33,Testing,QA,0.13333333333333336,0.2,0.875,0.0,2 Backend Devs,Critical,Busy,0.33333333333333337,No Conflict,1.0,0.33333333333333326,0.7000000000000002,Quality Assurance Engineer,0.0,0.0,Somewhat Familiar,0.0,Somewhat Familiar,0.0,0.15204678362573099,0.2270833333333333,0.6310679611650485,4,4,2,0,2,0,1,0,0
TASK_34,Task 34,Authentication,FullStack,0.9333333333333333,0.5,0.875,0.5714285714285714,2 Backend Devs,Critical,Busy,0.16666666666666666,No Conflict,0.35,0.8333333333333333,0.15000000000000013,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.2807017543859649,0.26718749999999997,0.35,0,3,2,0,2,0,0,1,0
TASK_35,Task 35,Dashboard,DevOps,0.5333333333333334,0.0,0.0,0.5714285714285714,1 QA Tester,High,Busy,0.9999999999999999,Overlaps with Sprint 5,0.19,0.6666666666666667,0.40000000000000013,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.631578947368421,0.02500000000000001,0.19000000000000003,1,1,0,1,2,2,0,1,0
TASK_36,Task 36,Testing,FullStack,0.46666666666666673,0.6000000000000001,0.5,0.0,2 Backend Devs,High,Available,0.16666666666666666,Overlaps with Holidays,0.25,0.6666666666666667,0.25,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.13312693498452013,0.2890625,0.25,4,3,2,1,0,1,0,1,0
TASK_37,Task 37,Payment,Backend,0.26666666666666666,0.45000000000000007,1.0,0.2857142857142858,,Medium,Available in March,0.33333333333333337,Overlaps with Holidays,0.94,0.5,0.75,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.11654135338345864,0.234375,0.9399999999999998,2,0,3,3,1,1,0,1,0
TASK_38,Task 38,Dashboard,Backend,0.7333333333333334,0.5,0.125,0.2857142857142858,,Low,Busy,0.0,Overlaps with Holidays,0.78,0.33333333333333326,0.10000000000000009,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.22807017543859648,0.60625,0.78,1,0,3,2,2,1,0,1,0
TASK_39,Task 39,Authentication,FullStack,0.8666666666666667,0.0,0.875,0.2857142857142858,2 Backend Devs,Critical,Busy,0.0,Overlaps with Sprint 5,0.37,0.5,0.8000000000000003,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.894736842105263,0.9124999999999999,0.36999999999999994,0,3,2,0,2,2,0,1,0
TASK_40,Task 40,Dashboard,Frontend,0.6000000000000001,0.8500000000000001,0.0,0.2857142857142858,2 Backend Devs,Critical,Busy,0.33333333333333337,Overlaps with Holidays,0.35,0.16666666666666674,0.30000000000000004,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.11483253588516745,0.16874999999999996,0.35,1,2,2,0,2,1,0,1,0
TASK_41,Task 41,Payment,QA,0.6666666666666667,0.2,0.125,0.5714285714285714,,Low,Available in March,0.6666666666666666,Overlaps with Holidays,0.62,0.9999999999999998,0.0,Quality Assurance Engineer,0.0,0.0,Somewhat Familiar,0.0,Somewhat Familiar,0.0,0.38596491228070173,0.03749999999999999,0.39126213592233006,2,4,3,2,1,1,1,0,0
TASK_42,Task 42,Payment,DevOps,0.6666666666666667,0.8500000000000001,0.0,0.2857142857142858,1 React Dev,Low,Available,0.33333333333333337,No Conflict,0.73,0.16666666666666674,0.3500000000000001,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.1267942583732057,0.17604166666666665,0.73,2,1,1,2,0,0,0,1,0
TASK_43,Task 43,Payment,QA,0.7333333333333334,0.7000000000000001,0.875,0.5714285714285714,,Critical,Available in March,0.0,Overlaps with Sprint 5,0.6,0.6666666666666667,0.10000000000000009,Quality Assurance Engineer,0.0,0.0,Somewhat Familiar,0.0,Somewhat Familiar,0.0,0.16897506925207753,0.60625,0.37864077669902907,2,4,3,0,1,2,1,0,0
TASK_44,Task 44,Payment,DevOps,0.6000000000000001,0.9000000000000001,0.5,0.5714285714285714,1 QA Tester,Medium,Available in March,0.9999999999999999,No Conflict,0.9,0.33333333333333326,0.10000000000000009,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.10755148741418766,0.0062500000000000056,0.9,2,1,0,3,1,0,0,1,0
TASK_45,Task 45,Dashboard,DevOps,0.8666666666666667,0.8,0.125,0.0,,Medium,Available,0.6666666666666666,Overlaps with Sprint 5,0.24,0.6666666666666667,0.6000000000000001,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.17293233082706766,0.09000000000000001,0.24,1,1,3,3,0,2,0,1,0
TASK_46,Task 46,Dashboard,Backend,0.5333333333333334,0.8500000000000001,0.125,0.5714285714285714,1 QA Tester,Critical,Available in March,0.33333333333333337,Overlaps with Holidays,0.42,0.6666666666666667,0.050000000000000044,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.1028708133971292,0.1322916666666667,0.41999999999999993,1,0,0,0,1,1,0,1,0
TASK_47,Task 47,Payment,Backend,0.7333333333333334,1.0,0.0,0.5714285714285714,1 QA Tester,Critical,Available in March,0.16666666666666666,Overlaps with Holidays,0.32,0.33333333333333326,0.5500000000000003,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.11578947368421053,0.3546875,0.32,2,0,0,0,1,1,0,1,0
TASK_48,Task 48,Sprint Planning,Backend,1.0,0.55,0.875,0.0,,Medium,Busy,0.16666666666666666,Overlaps with Sprint 5,0.5,0.16666666666666674,0.8500000000000001,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.2763157894736842,0.4203125,0.5,3,0,3,3,2,2,0,1,0
TASK_49,Task 49,Dashboard,QA,0.5333333333333334,1.0,0.5,0.5714285714285714,1 QA Tester,Medium,Available in March,0.0,Overlaps with Holidays,0.43,0.6666666666666667,0.10000000000000009,Quality Assurance Engineer,0.0,0.0,Somewhat Familiar,0.0,Somewhat Familiar,0.0,0.08421052631578949,0.60625,0.27135922330097084,1,4,0,3,1,1,1,0,0
TASK_50,Task 50,Authentication,Backend,0.9333333333333333,0.25,0.125,1.0,,Critical,Available,0.33333333333333337,Overlaps with Sprint 5,0.08,0.5,0.10000000000000009,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.4473684210526315,0.13958333333333334,0.08,0,0,3,0,0,2,0,1,0
TASK_51,Task 51,Payment,Backend,0.0,0.2,0.0,0.0,2 Backend Devs,High,Busy,0.16666666666666666,No Conflict,0.58,0.9999999999999998,0.5500000000000003,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.0935672514619883,0.3546875,0.58,2,0,2,1,2,0,0,1,0
TASK_52,Task 52,Authentication,QA,0.5333333333333334,0.8500000000000001,0.0,0.0,,Medium,Busy,0.16666666666666666,No Conflict,0.56,0.8333333333333333,0.10000000000000009,Quality Assurance Engineer,0.0,0.0,Somewhat Familiar,0.0,Somewhat Familiar,0.0,0.1028708133971292,0.25625,0.3533980582524272,0,4,3,3,2,0,1,0,0
TASK_53,Task 53,Authentication,QA,0.7333333333333334,0.8,0.0,0.0,2 Backend Devs,Critical,Available,0.6666666666666666,Overlaps with Holidays,0.89,0.6666666666666667,0.15000000000000013,Quality Assurance Engineer,0.0,0.0,Somewhat Familiar,0.0,Somewhat Familiar,0.0,0.14786967418546365,0.05062499999999999,0.5616504854368931,0,4,2,0,0,1,1,0,0
TASK_54,Task 54,Payment,DevOps,0.6666666666666667,0.6000000000000001,0.0,0.0,,Medium,Available,0.33333333333333337,Overlaps with Sprint 5,0.58,0.6666666666666667,0.050000000000000044,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.17956656346749225,0.1322916666666667,0.58,2,1,3,3,0,2,0,1,0
TASK_55,Task 55,Dashboard,QA,0.8,0.65,0.125,0.5714285714285714,1 React Dev,Low,Busy,0.9999999999999999,No Conflict,0.37,0.16666666666666674,0.9500000000000002,Quality Assurance Engineer,0.0,0.0,Somewhat Familiar,0.0,Somewhat Familiar,0.0,0.195906432748538,0.059375,0.23349514563106794,1,4,1,2,2,0,1,0,0
TASK_56,Task 56,Sprint Planning,QA,1.0,0.5,0.5,0.2857142857142858,,Critical,Available in March,0.16666666666666666,No Conflict,0.7,0.0,0.3500000000000001,Quality Assurance Engineer,0.0,0.0,Somewhat Familiar,0.0,Somewhat Familiar,0.0,0.2982456140350877,0.3109375,0.4417475728155339,3,4,3,0,1,0,1,0,0
TASK_57,Task 57,Testing,Frontend,0.3333333333333333,0.30000000000000004,1.0,0.5714285714285714,2 Backend Devs,High,Available,0.6666666666666666,Overlaps with Sprint 5,0.67,0.9999999999999998,0.6000000000000001,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.1866028708133971,0.09000000000000001,0.67,4,2,2,1,0,2,0,1,0
TASK_58,Task 58,Testing,FullStack,0.6000000000000001,0.6000000000000001,0.125,0.2857142857142858,2 Backend Devs,High,Available,0.0,Overlaps with Sprint 5,0.91,0.5,0.7000000000000002,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.16408668730650153,0.8687499999999999,0.91,4,3,2,1,0,2,0,1,0
TASK_59,Task 59,Dashboard,Backend,0.39999999999999997,0.0,0.0,0.0,2 Backend Devs,Medium,Available in March,0.9999999999999999,No Conflict,0.98,0.5,1.0,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.5263157894736843,0.06250000000000001,0.98,1,0,2,3,1,0,0,1,0
TASK_60,Task 60,Sprint Planning,FullStack,0.5333333333333334,0.55,0.0,0.5714285714285714,1 React Dev,Low,Available,0.0,Overlaps with Holidays,0.38,0.8333333333333333,0.7000000000000002,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.1611842105263158,0.8687499999999999,0.38000000000000006,3,3,1,2,0,1,0,1,0
TASK_61,Task 61,Payment,Backend,0.46666666666666673,0.0,0.125,1.0,,High,Busy,0.6666666666666666,Overlaps with Holidays,0.45,0.8333333333333333,0.6000000000000001,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.5789473684210527,0.09000000000000001,0.45,2,0,3,1,2,1,0,1,0
TASK_62,Task 62,Dashboard,DevOps,0.13333333333333336,0.45000000000000007,0.875,1.0,1 QA Tester,Medium,Busy,0.9999999999999999,Overlaps with Sprint 5,0.37,0.33333333333333326,0.30000000000000004,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.07894736842105263,0.018750000000000017,0.36999999999999994,1,1,0,3,2,2,0,1,0
TASK_63,Task 63,Dashboard,Backend,0.9333333333333333,0.8,0.5,0.0,2 Backend Devs,Medium,Available,0.0,Overlaps with Sprint 5,0.68,0.0,1.0,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.18546365914786966,1.0,0.68,1,0,2,3,0,2,0,1,0
TASK_64,Task 64,Testing,QA,0.3333333333333333,0.4,1.0,1.0,,Medium,Busy,0.6666666666666666,No Conflict,0.59,0.0,1.0,Quality Assurance Engineer,0.0,0.0,Somewhat Familiar,0.0,Somewhat Familiar,0.0,0.14979757085020243,0.125,0.3723300970873786,4,4,3,3,2,0,1,0,0
TASK_65,Task 65,Payment,FullStack,0.9333333333333333,0.050000000000000044,0.875,0.2857142857142858,1 React Dev,Medium,Busy,0.9999999999999999,Overlaps with Sprint 5,0.82,0.16666666666666674,0.4500000000000002,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.7807017543859649,0.028124999999999997,0.82,2,3,1,3,2,2,0,1,0
TASK_66,Task 66,Sprint Planning,DevOps,0.6666666666666667,0.25,0.0,1.0,2 Backend Devs,High,Busy,0.16666666666666666,Overlaps with Holidays,0.59,0.33333333333333326,0.7000000000000002,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.34210526315789475,0.38749999999999996,0.59,3,1,2,1,2,1,0,1,0
TASK_67,Task 67,Testing,QA,0.39999999999999997,0.75,0.5,1.0,2 Backend Devs,High,Available in March,0.0,Overlaps with Sprint 5,0.61,0.33333333333333326,0.30000000000000004,Quality Assurance Engineer,0.0,0.0,Somewhat Familiar,0.0,Somewhat Familiar,0.0,0.09210526315789475,0.69375,0.38495145631067956,4,4,2,1,1,2,1,0,0
TASK_68,Task 68,Authentication,Frontend,0.06666666666666671,0.25,1.0,0.5714285714285714,1 React Dev,Low,Available,0.33333333333333337,Overlaps with Sprint 5,0.82,0.0,0.3500000000000001,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.10526315789473684,0.17604166666666665,0.82,0,2,1,2,0,2,0,1,0
TASK_69,Task 69,Dashboard,Frontend,0.9333333333333333,1.0,1.0,1.0,2 Backend Devs,Critical,Available in March,0.0,Overlaps with Holidays,0.33,0.6666666666666667,1.0,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.14736842105263157,1.0,0.33000000000000007,1,2,2,0,1,1,0,1,0
TASK_70,Task 70,Dashboard,Backend,0.7333333333333334,0.2,1.0,0.5714285714285714,1 QA Tester,Medium,Available,0.33333333333333337,Overlaps with Holidays,0.91,0.8333333333333333,0.5500000000000003,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.4152046783625731,0.20520833333333333,0.91,1,0,0,3,0,1,0,1,0
TASK_71,Task 71,Payment,QA,0.3333333333333333,0.30000000000000004,0.5,1.0,,Low,Available,0.9999999999999999,Overlaps with Holidays,0.12,0.9999999999999998,0.5500000000000003,Quality Assurance Engineer,0.0,0.0,Somewhat Familiar,0.0,Somewhat Familiar,0.0,0.1866028708133971,0.034375,0.07572815533980581,2,4,3,2,0,1,1,0,0
TASK_72,Task 72,Payment,FullStack,0.8666666666666667,0.8500000000000001,0.0,0.2857142857142858,,Medium,Available in March,0.9999999999999999,Overlaps with Holidays,0.87,0.0,0.30000000000000004,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.1626794258373206,0.018750000000000017,0.87,2,3,3,3,1,1,0,1,0
TASK_73,Task 73,Testing,Backend,0.3333333333333333,0.5,0.5,0.2857142857142858,1 QA Tester,High,Busy,0.9999999999999999,No Conflict,0.89,0.0,0.20000000000000018,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.12280701754385964,0.012499999999999997,0.89,4,0,0,1,2,0,0,1,0
TASK_74,Task 74,Authentication,Backend,0.06666666666666671,0.10000000000000003,0.0,1.0,1 QA Tester,Medium,Available,0.9999999999999999,Overlaps with Holidays,0.25,0.33333333333333326,0.6000000000000001,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.17293233082706766,0.03749999999999999,0.25,0,0,0,3,0,1,0,1,0
